,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,1,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
31,32,4/18/2023 9:19:34,TH-21,Ban Khai,Rayong,Thailand,147,p2,33,1012,67,4,176
32,33,4/18/2023 9:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,184,p2,31,984,51,1.54,70
33,34,4/18/2023 9:20:36,TH-52,Hang Chat,Lampang,Thailand,190,p2,33,1011,10,1.02,204
34,35,4/18/2023 10:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,32,1010,51,5.12,177
35,36,4/18/2023 10:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,157,p2,32,1011,66,5.66,190
36,37,4/18/2023 10:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,159,p2,33,1011,65,3.09,190
37,38,4/18/2023 10:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,137,p2,34,1011,70,3.09,190
38,39,4/18/2023 10:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,161,p2,35,1010,48,5.16,175
39,40,4/18/2023 10:18:03,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,142,p2,36,1010,47,5.22,179
40,41,4/18/2023 10:18:34,TH-16,Ban Mi,Lop Buri,Thailand,120,p2,33,1010,54,5.2,185
41,42,4/18/2023 10:19:05,TH-20,Na Kluea,Chon Buri,Thailand,120,p2,34,1011,62,5.49,185
42,43,4/18/2023 10:19:36,TH-21,Ban Khai,Rayong,Thailand,110,p2,34,1012,58,4.64,176
43,44,4/18/2023 10:20:07,TH-50,Chiang Mai,Chiang Mai,Thailand,179,p2,33,993,54,1.03,0
44,45,4/18/2023 10:20:38,TH-52,Hang Chat,Lampang,Thailand,180,p2,35,1010,5,1.25,193
45,46,4/18/2023 11:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,33,1010,51,5.51,180
46,47,4/18/2023 11:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,156,p2,33,1011,66,4.63,190
47,48,4/18/2023 11:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,160,p2,33,1011,60,3.6,180
48,49,4/18/2023 11:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,142,p2,35,1010,65,3.6,180
49,50,4/18/2023 11:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,161,p2,36,1009,42,5.03,176
50,51,4/18/2023 11:18:03,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,142,p2,39,1009,41,5.14,178
51,52,4/18/2023 11:18:33,TH-16,Ban Mi,Lop Buri,Thailand,139,p2,35,1010,47,5.16,183
52,53,4/18/2023 11:19:04,TH-20,Na Kluea,Chon Buri,Thailand,112,p2,34,1011,60,5.87,188
53,54,4/18/2023 11:19:35,TH-21,Ban Khai,Rayong,Thailand,103,p2,34,1011,53,5.04,176
54,55,4/18/2023 11:20:06,TH-50,Chiang Mai,Chiang Mai,Thailand,177,p2,34,992,50,1.54,0
55,56,4/18/2023 11:20:37,TH-52,Hang Chat,Lampang,Thailand,174,p2,38,1009,5,1.41,194
56,57,4/18/2023 12:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,35,1009,47,5.75,180
57,58,4/18/2023 12:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,155,p2,36,1010,56,6.11,183
58,59,4/18/2023 12:16:31,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,159,p2,36,1010,61,3.6,200
59,60,4/18/2023 12:17:02,TH-13,Khlong Luang,Pathum Thani,Thailand,133,p2,36,1010,65,3.6,200
60,61,4/18/2023 12:17:33,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,160,p2,37,1008,36,5.28,176
61,62,4/18/2023 12:18:04,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,142,p2,39,1008,36,5.07,177
62,63,4/18/2023 12:18:35,TH-16,Ban Mi,Lop Buri,Thailand,139,p2,38,1009,40,4.97,183
63,64,4/18/2023 12:19:06,TH-20,Na Kluea,Chon Buri,Thailand,112,p2,33,1010,60,6.53,191
64,65,4/18/2023 12:19:37,TH-21,Ban Khai,Rayong,Thailand,103,p2,35,1011,50,5.51,179
65,66,4/18/2023 12:20:08,TH-50,Chiang Mai,Chiang Mai,Thailand,176,p2,33,1010,43,2.06,0
66,67,4/18/2023 12:20:39,TH-52,Hang Chat,Lampang,Thailand,178,p2,39,1008,5,1.45,185
